"state_code","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate"
1,85452,5170,6.05018021813416,600327,56238,9.36789449749886,7953,9.30697935683191,40153,6.68852142249141,704,0.823854327575715,13144,2.18947340366167
2,40472,7267,17.9556236410358,58650,10418,17.7630008525149,9885,24.4242933386045,12860,21.926683716965,1274,3.147855307373,2040,3.47826086956522
3,76277,7380,9.67526252998938,283999,28450,10.0176409071863,14805,19.4095205632104,43755,15.406744389945,8757,11.4805249288776,39119,13.7743442758601
4,27321,3698,13.5353757183119,147916,27968,18.9080288812569,6061,22.1844002781743,18321,12.386083993618,451,1.6507448482852,2762,1.86727602152573
5,3065,325,10.6035889070147,21709,4239,19.5264636786586,861,28.0913539967374,4046,18.6374314800313,42,1.37030995106036,855,3.93845870376342
6,5235,1073,20.4966571155683,35368,10749,30.3918796652341,965,18.4336198662846,3724,10.5292920153811,195,3.72492836676218,1711,4.83770640126668
7,4149,883,21.2822366835382,34189,11332,33.1451636491269,1079,26.0062665702579,3187,9.32171166164556,106,2.55483248975657,1129,3.30223171195414
8,11475,748,6.51851851851852,113381,11622,10.2503946869405,1747,15.2244008714597,6296,5.55295860858521,23,0.200435729847495,452,0.39865585944735
9,15619,572,3.66220628721429,149259,10810,7.24244434171474,1266,8.10551251680645,7486,5.01544295486369,173,1.107625328126,2292,1.53558579382148
10,30048,2570,8.55298189563365,101119,15660,15.4867037846498,10451,34.7810170394036,28172,27.8602438710826,753,2.50599041533546,4957,4.90214499747822
11,13876,1552,11.1847794753531,59302,5606,9.45330680246872,1370,9.8731622946094,4075,6.87160635391724,51,0.367541078120496,179,0.301844794442009
12,976,44,4.50819672131148,10034,1300,12.9559497707794,102,10.4508196721311,713,7.10584014351206,1,0.102459016393443,32,0.318915686665338
13,59573,987,1.65679082805969,439886,11336,2.57703132175154,9791,16.4352978698404,32819,7.46079666095306,347,0.582478639652191,4056,0.922057078424865
14,10509,781,7.43172518793415,79443,17139,21.5739586873608,3375,32.1153297173851,16276,20.4876452299133,163,1.55105147968408,2976,3.74608209659756
15,2522,146,5.78905630452022,23270,2248,9.66050709067469,554,21.9666931007137,3514,15.1009883970778,50,1.98255352894528,843,3.62269015900301
16,15513,1175,7.57429252884677,87395,13333,15.2560215115281,4823,31.0900535035132,18877,21.5996338463299,87,0.560819957455038,1280,1.46461468047371
17,36292,1648,4.54094566295602,209455,9186,4.3856675658256,3281,9.04055990300893,19198,9.16569191473109,90,0.247988537418715,881,0.420615406650593
18,919,162,17.6278563656148,8413,2546,30.2626886960656,162,17.6278563656148,675,8.02329727802211,14,1.5233949945593,163,1.93747771306312
19,161,35,21.7391304347826,73,15,20.5479452054795,8,4.96894409937888,2,2.73972602739726,39,24.223602484472,16,21.9178082191781
20,581,96,16.5232358003442,4287,1405,32.7735012829484,71,12.2203098106713,259,6.04152087707021,17,2.92598967297762,166,3.87217168182879
21,95,4,4.21052631578947,381,18,4.7244094488189,8,8.42105263157895,32,8.3989501312336,0,0,0,0
22,12365,730,5.90376061463809,81090,12912,15.9230484646689,4815,38.9405580266882,21628,26.671599457393,436,3.52608168216741,6690,8.25009248982612
23,33392,3125,9.3585289889794,232153,36197,15.5918726012587,5451,16.3242692860565,26367,11.3575960681103,2790,8.3552946813608,21606,9.30679336472068
24,25,12,48,122,39,31.9672131147541,2,8,4,3.27868852459016,1,4,14,11.4754098360656
25,155,3,1.93548387096774,388,9,2.31958762886598,27,17.4193548387097,90,23.1958762886598,5,3.2258064516129,6,1.54639175257732
26,13731,221,1.60949675915811,61448,2633,4.28492383804192,2869,20.8943267059937,10966,17.845983595886,63,0.458815818221542,890,1.44837911730243
27,1203,25,2.07813798836243,7568,404,5.33826638477801,309,25.6857855361596,1457,19.2521141649049,9,0.748129675810474,88,1.16279069767442
29,23124,4974,21.5101193565127,57124,12470,21.8297038022547,5566,24.0702300640028,10769,18.8519711504797,516,2.23144784639336,1500,2.62586653595687
30,3210,0,0,14123,0,0,7,0.218068535825545,14,0.0991290802237485,0,0,0,0
31,45,3,6.66666666666667,329,23,6.99088145896657,4,8.88888888888889,56,17.0212765957447,0,0,0,0
32,70,8,11.4285714285714,413,117,28.3292978208232,14,20,40,9.68523002421307,1,1.42857142857143,18,4.35835351089588
