"state_code","year","S. No.","State","GDP","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate","mmr","unemr","tfr","diff_acquittal","diff_dismissal","diff_conviction","pop_growth"
1,"2011","14","Maharashtra","1280369.437875421",83395,5805,6.9608489717609,604231,63445,10.5001232972158,7615,9.1312428802686,40799,6.75221893613535,872,1.04562623658493,13478,2.23060385845811,NA,NA,1.8,3.5392743254549,-2.37902394413325,1.18497762187318,10.3
1,"2012","14","Maharashtra","1459628.6275589818",96918,6927,7.14727914319321,666803,70392,10.5566411668814,9690,9.99814275985885,48485,7.27126302671104,745,0.76869105842052,11438,1.71534921108633,87,38,1.8,3.40936202368819,-2.72687973314781,0.94665815266581,10.3
1,"2013","14","Maharashtra","1649646.6310552894",96880,6988,7.2130470685384,727791,70676,9.71102967747609,7840,8.09248554913295,40575,5.57508955180814,1074,1.10858794384806,24825,3.41100673132809,68,NA,1.8,2.49798260893769,-2.51739599732481,2.30241878748003,10.2
1,"2014","14","Maharashtra","1779137.929673658",103573,6610,6.38197213559519,757576,66980,8.84135717076571,8028,7.75105481158217,42422,5.59970220809529,977,0.943296032749848,20386,2.69095113889564,NA,NA,1.8,2.45938503517052,-2.15135260348688,1.74765510614579,10.5
1,"2015","14","Maharashtra","1966224.5795943553",107588,5959,5.53872179053426,854216,60232,7.05114397295298,8126,7.55288693906384,45554,5.33284321529917,1432,1.33100345763468,46417,5.43387152663963,NA,NA,1.8,1.51242218241872,-2.22004372376467,4.10286806900495,10.5
1,"2016","14","Maharashtra","2198185.1539265439",111679,6332,5.66982154209834,844838,53998,6.39152121471809,6069,5.43432516408635,27022,3.1984830227807,958,0.857815703937177,24716,2.92553128528783,61,NA,1.8,0.72169967261975,-2.23584214130565,2.06771558135065,10.1
1,"2017","14","Maharashtra","2352781.5016512959",119628,5742,4.79987962684321,878258,43671,4.97245684070057,3971,3.31945698331494,16520,1.88099624483922,581,0.485672250643662,15675,1.78478305919217,55,NA,1.7,0.17257721385736,-1.43846073847572,1.29911080854851,10.1
1,"2018","14","Maharashtra","2528854.3026081612",120945,2298,1.90003720699492,909318,17466,1.92078018910876,1345,1.1120757369052,6371,0.700634981381651,403,0.33320931001695,12941,1.4231544960069,46,115,1.7,0.0207429821138398,-0.411440755523549,1.08994518598995,10.1
1,"2019","14","Maharashtra","2657370.9568737485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,106,1.6,NA,NA,NA,10
1,"2020","14","Maharashtra","2627541.8994584102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,56,1.5,NA,NA,NA,9.6
1,"2021","14","Maharashtra","3108021.8670080216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA
1,"2022","14","Maharashtra","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA
1,"2023","14","Maharashtra","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA
2,"2011","1","Andhra Pradesh","379402.03000000003",52866,9676,18.3028789770363,75620,13631,18.0256545887331,12243,23.1585518102372,16511,21.8341708542714,1631,3.08515870313623,2685,3.55064797672573,NA,NA,1.8,-0.2772243883032,-1.3243809559658,0.4654892735895,10
2,"2012","1","Andhra Pradesh","411403.71000000002",61171,10780,17.6227297248696,84429,14484,17.1552428667875,13857,22.6528910758366,18055,21.3848322258939,1888,3.08642984420722,2968,3.51537978656623,110,54,1.8,-0.467486858082101,-1.2680588499427,0.42894994235901,10.1
2,"2013","1","Andhra Pradesh","464272.01000000001",66502,12573,18.9061983098253,93012,16490,17.7288951963188,12401,18.6475594718956,16901,18.1707736636133,2189,3.29163032690746,3816,4.10269642626758,92,NA,1.8,-1.1773031135065,-0.476785808282301,0.81106609936012,10
2,"2014","1","Andhra Pradesh","524975.64000000001",86036,14562,16.9254730577898,115218,18219,15.8126334426912,13558,15.7585196894323,18424,15.9905570310195,2359,2.74187549397926,3691,3.20349250985089,NA,NA,1.8,-1.1128396150986,0.232037341587201,0.46161701587163,9.7
2,"2015","1","Andhra Pradesh","604228.61953199992",95597,14293,14.9513060033265,124992,16995,13.5968701996928,13019,13.6186281996297,17267,13.8144841269841,2594,2.71347427220519,3859,3.08739759344598,NA,NA,1.7,-1.3544358036337,0.195855927354399,0.37392332124079,9.7
2,"2016","1","Andhra Pradesh","684415.87",97262,11127,11.4402335958545,125605,12821,10.2073962023805,11088,11.4001357159014,14995,11.9382190199435,1945,1.99975324381567,2870,2.28494088611122,74,NA,1.7,-1.232837393474,0.5380833040421,0.28518764229555,9.6
2,"2017","1","Andhra Pradesh","786135.41556372959",110573,8151,7.3716006620061,141863,9140,6.4428356935917,8249,7.46022989337361,11266,7.94146465251687,2063,1.86573575827734,2951,2.08017594439706,74,NA,1.6,-0.928764968414399,0.48123475914326,0.21444018611972,8.9
2,"2018","1","Andhra Pradesh","873721.1063011681",113341,5884,5.19141352202645,146102,6340,4.33943409398913,4004,3.53270219955709,5490,3.75764876593065,1710,1.50872146884181,3003,2.05541334136425,65,91,1.6,-0.85197942803732,0.22494656637356,0.54669187252244,9.4
