"state_code","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate"
1,103573,6610,6.38197213559519,757576,66980,8.84135717076571,8028,7.75105481158217,42422,5.59970220809529,977,0.943296032749848,20386,2.69095113889564
2,86036,14562,16.9254730577898,115218,18219,15.8126334426912,13558,15.7585196894323,18424,15.9905570310195,2359,2.74187549397926,3691,3.20349250985089
3,152046,8729,5.74102574220959,587856,30591,5.20382542663509,19125,12.5784302119096,57560,9.79151356794861,19668,12.9355589755732,89153,15.1657889006832
4,63047,5012,7.94962488302378,402288,37387,9.2935906614167,11051,17.5281932526528,35076,8.71912659587161,402,0.637619553666312,4060,1.00922722029988
5,9158,151,1.64883162262503,58763,2316,3.94125555196297,1620,17.6894518453811,7405,12.6014669094498,55,0.600567809565407,971,1.65240031992921
6,14671,1651,11.2534932860746,93420,15587,16.6848640548063,2747,18.7240133596892,9964,10.6658103189895,761,5.18710381023788,5267,5.63797901948191
7,9934,720,7.24783571572378,71176,8712,12.2400809261549,2770,27.8840346285484,7570,10.6356075081488,50,0.50332192470304,733,1.02984151961335
8,31725,741,2.33569739952719,237123,10321,4.3525933798071,6773,21.3490937746257,24576,10.3642413431004,22,0.0693459416863672,348,0.146759276831012
9,32650,612,1.87442572741194,331299,11434,3.45126305844569,1999,6.12251148545176,11900,3.59192149689555,173,0.529862174578867,2572,0.776337990757594
10,66657,3758,5.63781748353511,236458,22351,9.45241861133901,18213,27.3234619019758,48298,20.4256146969018,2834,4.25161648439024,22057,9.32808363430292
11,28773,3145,10.9303861258819,108261,9734,8.99123414710745,2009,6.98224029472075,4690,4.33212329463057,91,0.316268724151114,305,0.281726568200922
12,2703,38,1.40584535701073,22738,961,4.22640513677544,481,17.79504254532,2148,9.44674113818278,1,0.0369959304476508,26,0.114346028674466
13,138018,1473,1.06725209755249,816657,13076,1.6011618096704,27569,19.9749308061267,72657,8.89688082022195,515,0.373139735396832,6065,0.742661851915798
14,36323,1580,4.34986096963357,267934,33858,12.6366941112363,8357,23.0074608374859,34973,13.0528413713825,1257,3.46061723976544,22410,8.3640000895743
15,8496,158,1.85969868173258,83828,2506,2.98945459750919,1697,19.9741054613936,8052,9.60538244977812,103,1.2123352165725,1370,1.63429880230949
16,29380,1586,5.39823008849558,173131,18052,10.4267866528813,8465,28.8121170864534,30314,17.5092848767696,1086,3.69639210347175,12366,7.14256834420179
17,79839,8780,10.9971317276018,387809,28897,7.45134847308856,3007,3.76632973859893,16680,4.30108635952234,172,0.21543356003958,1570,0.404838464295568
18,12166,1231,10.1183626500082,105416,12950,12.2846626698034,1417,11.6472135459477,5676,5.38438187751385,133,1.09321058688147,2748,2.60681490475829
19,290,21,7.24137931034483,181,19,10.4972375690608,7,2.41379310344828,13,7.18232044198895,40,13.7931034482759,24,13.2596685082873
20,1468,114,7.76566757493188,9784,1317,13.4607522485691,156,10.6267029972752,578,5.90760425183974,20,1.36239782016349,209,2.13614063777596
21,885,7,0.790960451977401,2520,63,2.5,14,1.5819209039548,41,1.62698412698413,1,0.112994350282486,29,1.15079365079365
22,44243,1340,3.02872770833804,258750,19043,7.35961352657005,13432,30.3596049092512,54740,21.1555555555556,1311,2.96318061614267,21943,8.48038647342995
23,67635,4954,7.3246100391809,502293,59743,11.894053868957,10282,15.2021882161603,46996,9.35629204468308,10003,14.7896798994603,82373,16.3993923865154
24,464,44,9.48275862068965,2776,322,11.5994236311239,8,1.72413793103448,26,0.936599423631124,15,3.23275862068966,83,2.98991354466859
25,2183,14,0.641319285387082,7008,51,0.727739726027397,196,8.97846999541915,501,7.14897260273973,81,3.71049015116812,378,5.39383561643836
26,22970,267,1.16238572050501,111779,4062,3.63395628874833,3473,15.1197213757074,13228,11.8340654326841,86,0.374401393121463,1133,1.01360720707825
27,3008,70,2.32712765957447,18344,1078,5.87658089838639,744,24.7340425531915,3460,18.8617531617968,19,0.631648936170213,435,2.37134757959006
29,50584,8609,17.0192155622331,101754,15388,15.1227470173163,7335,14.5006326111023,14821,14.5655207657684,1309,2.58777479044757,2959,2.90799378894196
30,3680,0,0,18600,0,0,3,0.0815217391304348,14,0.0752688172043011,0,0,0,0
31,53,4,7.54716981132075,377,48,12.7320954907162,5,9.43396226415094,13,3.44827586206897,0,0,8,2.12201591511936
32,68,14,20.5882352941176,689,137,19.8838896952104,6,8.82352941176471,86,12.4818577648766,1,1.47058823529412,7,1.01596516690856
33,1,0,0,22,10,45.4545454545455,1,100,1,4.54545454545455,0,0,0,0
