"state_code","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate"
1,120945,2298,1.90003720699492,909318,17466,1.92078018910876,1345,1.1120757369052,6371,0.700634981381651,403,0.33320931001695,12941,1.4231544960069
2,113341,5884,5.19141352202645,146102,6340,4.33943409398913,4004,3.53270219955709,5490,3.75764876593065,1710,1.50872146884181,3003,2.05541334136425
3,166293,1726,1.03792703240666,645959,6663,1.03148961466595,4685,2.81731642342131,14316,2.21623973038536,3624,2.17928595912035,17233,2.66781637843888
4,69165,1787,2.58367671510157,519346,8296,1.59739364508439,4573,6.61172558374901,19393,3.73411945023164,109,0.157594158895395,1443,0.277849449114848
5,34104,40,0.117288294628196,193797,271,0.139837045981104,864,2.53342716396904,3666,1.89167014969272,297,0.870865587614356,3909,2.01705908760198
6,22333,678,3.03586620695831,144579,5111,3.53509154164851,1360,6.08964312900193,5195,3.59319126567482,586,2.62391975999642,4549,3.14637672137724
7,22142,131,0.591635805256978,130976,1882,1.43690447104813,1370,6.18733628398519,4894,3.73656242365013,9,0.0406467347123114,138,0.105362814561446
8,44367,184,0.414722654224987,360975,2547,0.705589029711199,2681,6.0427795433543,12224,3.38638409862179,8,0.0180314197489125,102,0.0282568044878454
9,50363,188,0.373289915215535,604806,4268,0.705680829885947,1812,3.59787939558803,11676,1.9305364034087,242,0.480511486607231,5355,0.885407882858305
10,103777,1013,0.976131512762944,407924,6358,1.55862366519254,5918,5.70261233221234,17980,4.40768378423432,12801,12.335103153878,88045,21.5836773516635
11,42134,1046,2.48255565576494,167539,3060,1.8264404108894,386,0.916124744861632,871,0.519878953557082,30,0.0712014050410595,153,0.0913220205444703
12,9079,13,0.143187575724199,58600,243,0.414675767918089,831,9.15299041744686,4326,7.38225255972696,8,0.0881154312148915,406,0.692832764505119
13,230976,518,0.224265724577445,1788339,6724,0.375991352869898,9055,3.92032072596287,38348,2.14433616892547,497,0.21517387087836,8799,0.49202080813537
14,50876,198,0.3891815394292,440643,5444,1.23546726034454,1625,3.19404041198207,7160,1.62489816018863,2355,4.62890164321094,26310,5.97081991544175
15,12475,75,0.601202404809619,119560,1062,0.888256942121111,835,6.69338677354709,4610,3.85580461692874,237,1.8997995991984,5292,4.42622950819672
16,52185,1114,2.13471304014564,345620,11216,3.2451825704531,5633,10.7942895468046,17310,5.00839071812974,2442,4.67950560505892,51366,14.8619871535212
17,72597,8735,12.0321776381944,464957,28646,6.16099983439329,766,1.05514001956004,4936,1.06160354613437,248,0.341611912337975,4480,0.963529960835088
18,18496,432,2.3356401384083,164641,4004,2.43195801774771,755,4.08196366782007,2580,1.5670458755717,42,0.227076124567474,845,0.513237893355847
19,527,2,0.379506641366224,307,2,0.651465798045603,5,0.94876660341556,5,1.62866449511401,29,5.50284629981025,17,5.53745928338762
20,1427,38,2.66292922214436,8857,473,5.34040871626962,94,6.58724597056762,306,3.45489443378119,8,0.560616678346181,71,0.801625832674721
21,777,6,0.772200772200772,2353,48,2.03994900127497,25,3.21750321750322,59,2.50743731406715,35,4.5045045045045,118,5.0148746281343
22,59656,315,0.528027356845917,400620,5277,1.31720832709301,4374,7.3320370122033,23125,5.77230293045779,806,1.35107952259622,17027,4.2501622485148
23,80767,2050,2.53816533980462,589195,23539,3.99511197481309,2065,2.55673728131539,10174,1.7267627865138,8121,10.0548491339285,63033,10.6981559585536
24,412,17,4.12621359223301,2183,117,5.35959688502061,22,5.33980582524272,69,3.16078790655062,5,1.21359223300971,22,1.00778744846541
25,2519,2,0.0793965859468043,7317,35,0.4783381167145,98,3.89043271139341,222,3.0340303403034,47,1.8658197697499,215,2.9383627169605
26,46221,122,0.263949287120573,262001,1584,0.604577845122728,3753,8.11968585707795,18399,7.02249228056381,81,0.175245018498085,954,0.364120747630734
27,3809,15,0.39380414807036,23896,305,1.27636424506194,119,3.12417957469152,486,2.03381319049213,15,0.39380414807036,197,0.824405758285906
29,66782,1493,2.23563235602408,131180,2781,2.11998780301875,1852,2.77320235991734,4724,3.60115871321848,1991,2.9813422778593,4029,3.07135234029578
30,4582,0,0,26333,0,0,0,0,3,0.0113925492727756,0,0,0,0
31,97,1,1.03092783505155,732,51,6.9672131147541,1,1.03092783505155,4,0.546448087431694,14,14.4329896907216,294,40.1639344262295
32,71,6,8.45070422535211,738,132,17.8861788617886,4,5.63380281690141,25,3.38753387533875,0,0,6,0.813008130081301
33,66,1,1.51515151515152,288,3,1.04166666666667,4,6.06060606060606,12,4.16666666666667,0,0,7,2.43055555555556
