"state_code","total_cases_women_def","female_def_acquitted","female_def_acquittal_rate","total_cases_male_def","male_def_acquitted","male_def_acquittal_rate","female_def_dismissed","female_def_dismissal_rate","male_def_dismissed","male_def_dismissal_rate","female_def_convicted","female_def_conviction_rate","male_def_convicted","male_def_conviction_rate"
1,96880,6988,7.2130470685384,727791,70676,9.71102967747609,7840,8.09248554913295,40575,5.57508955180814,1074,1.10858794384806,24825,3.41100673132809
2,66502,12573,18.9061983098253,93012,16490,17.7288951963188,12401,18.6475594718956,16901,18.1707736636133,2189,3.29163032690746,3816,4.10269642626758
3,130776,9300,7.11139658652964,524723,34836,6.63893139809004,19191,14.6747109561387,57355,10.9305290600946,16506,12.6215819416407,77580,14.7849436750438
4,50969,5259,10.3180364535306,287335,35749,12.4415751648772,9851,19.3274343228237,27958,9.73010597386326,382,0.749475171182483,2630,0.915307915847356
5,7305,237,3.24435318275154,47525,3111,6.54602840610205,1399,19.1512662559891,6451,13.5739084692267,73,0.999315537303217,1132,2.38190426091531
6,13642,1523,11.1640521917607,79524,13833,17.3947487550928,2433,17.8346283536138,9234,11.611588954278,671,4.91863363143234,4523,5.68759116744631
7,8332,937,11.2457993278925,59925,11524,19.2307050479766,2274,27.2923667786846,6157,10.2745098039216,84,1.00816130580893,1036,1.72882770129328
8,27748,879,3.16779587718034,215836,12010,5.5644100150114,6283,22.6430733746576,22964,10.6395596656721,27,0.0973043102205564,395,0.183009321892548
9,33173,692,2.08603382268713,328146,12882,3.92569161287963,2240,6.75247942603925,13621,4.15089624740207,251,0.756639435685648,3658,1.11474770376601
10,56562,4331,7.65708426151833,194491,24828,12.7656292579091,17342,30.6601605318058,47212,24.2746450992591,1935,3.42102471624059,12975,6.671259852641
11,26856,3263,12.1499851057492,109360,10299,9.41752011704462,2020,7.52159666368782,5659,5.17465252377469,65,0.242031575811737,341,0.311814191660571
12,2846,53,1.86226282501757,20805,1416,6.80605623648162,413,14.5115952213633,1914,9.19971160778659,5,0.175685172171469,37,0.177841864936313
13,122179,1588,1.29973235989818,715402,14448,2.01956382565327,24392,19.9641509588391,67094,9.3785032750817,441,0.360945825387342,5645,0.789066846332552
14,28564,1487,5.2058535219157,197664,32776,16.5816739517565,7623,26.6874387340709,31692,16.0332685769791,594,2.07954068057695,14687,7.43028573741298
15,7799,161,2.06436722656751,66503,3076,4.62535524713171,1886,24.1825875112194,10040,15.0970632903779,91,1.16681625849468,1200,1.80442987534397
16,26759,1484,5.54579767554841,155159,17082,11.0093516972912,7960,29.7470010090063,28119,18.1226999400615,1091,4.07713292723943,13555,8.73619964036891
17,70691,3910,5.53111428611846,346252,20324,5.86971338793711,3117,4.40933074931745,16824,4.85888890172476,151,0.213605692379511,1391,0.401730531520396
18,6364,760,11.9421747328724,47351,8748,18.4747946189098,957,15.0377121307354,4336,9.15714557242719,66,1.03708359522313,844,1.78243331714219
19,522,42,8.04597701149425,349,30,8.59598853868195,22,4.21455938697318,14,4.01146131805158,235,45.0191570881226,135,38.6819484240688
20,1377,142,10.3122730573711,9479,1807,19.063192319865,114,8.27886710239651,533,5.62295600801772,14,1.01670297748729,284,2.9960966346661
21,326,8,2.45398773006135,1038,43,4.14258188824663,18,5.52147239263804,26,2.50481695568401,3,0.920245398773006,13,1.252408477842
22,38728,1395,3.60204503201818,225416,20291,9.00157930226781,12505,32.2892997314604,52591,23.3306420129893,1177,3.0391448047924,18052,8.00830464563296
23,56655,4858,8.57470655723237,410183,56560,13.7889673633476,9126,16.1080222398729,38982,9.50356304381215,6241,11.0157973700468,61223,14.9257770312275
24,366,40,10.9289617486339,2048,246,12.01171875,6,1.63934426229508,24,1.171875,13,3.55191256830601,102,4.98046875
25,1046,7,0.669216061185469,2678,44,1.64301717699776,178,17.0172084130019,409,15.2725914861837,10,0.956022944550669,24,0.896191187453323
26,19978,297,1.48663529882871,97588,4087,4.1880149198672,3287,16.4530984082491,11716,12.0055744558757,125,0.625688257082791,1211,1.24093126204041
27,2783,99,3.55731225296443,16291,970,5.95420784482229,582,20.9126841537909,2752,16.8927628752072,20,0.718648939992813,265,1.62666502977104
29,45663,8908,19.5081356897269,94938,17004,17.9106364153448,8177,17.9072772266386,15940,16.7899049906255,1236,2.70678667630248,2853,3.00511913037983
30,3440,0,0,15090,0,0,3,0.0872093023255814,8,0.0530152418820411,0,0,0,0
31,106,2,1.88679245283019,675,65,9.62962962962963,8,7.54716981132075,17,2.51851851851852,6,5.66037735849057,57,8.44444444444444
32,106,14,13.2075471698113,896,213,23.7723214285714,11,10.377358490566,38,4.24107142857143,5,4.71698113207547,120,13.3928571428571
33,2,0,0,16,7,43.75,0,0,3,18.75,0,0,0,0
